gene,mean_importance,std_importance,variance_in_data,rank
YWHAE,0.0019850246985597167,0.002178994925082955,50150990.75571554,192
RPL34,0.0019835518361062455,0.00047158021950682784,40325977.1109352,193
ZFP36L1,0.001979672436292819,0.0008946257321558282,17938548.367081944,194
DMKN,0.0019795034516101296,0.0021191598495777053,48026536.59126204,195
DHCR24,0.001975451153509653,0.0005625059701805676,107384032.71379934,196
SRP14,0.0019604057905795863,0.0014070950662569952,60115462.20676489,197
RPS25,0.001960237319359797,0.000959491393359274,77135075.96924767,198
SCGB2A1,0.0019598480549503842,0.0010337295738299048,27399440.21927287,199
THBS2,0.0019580137421937273,0.0019224775388503373,15418993.963404188,200
MMP7,0.0019521144811192328,0.0015437035041980906,201024067.97413668,201
RPL17,0.0019381410404264363,0.0003549567014010416,33881176.88416029,202
LGALS3BP,0.0019374790853813886,0.000988445135874594,146241455.8247269,203
HLA-DRA,0.0019263726208070282,0.0015691954858854688,370850736.8681901,204
HMGN2,0.0019218581607559667,0.0008192241686720893,22923735.854974937,205
SERPINA5,0.001920906361746677,0.0007056298435285855,26458365.357572906,206
TRAM1,0.001913104466818763,0.001503796299897664,15291270.608661639,207
SPP1,0.0019083092516608174,0.0016075507413702878,189343409.2007745,208
SRRM2,0.0019070533364583901,0.00041794318053955525,32288799.4376917,209
SLC25A5,0.0019003030658259461,0.0009011981561090239,29957459.11174134,210
S100A13,0.0018981964475725816,0.0016098828447290896,13754086.09730931,211
FAU,0.0018971501019245127,0.0014086452639499056,38329675.251672916,212
MX1,0.0018906839520594083,0.0013686264417480478,31628202.16767624,213
YBX1,0.0018853554289261628,0.001711733332558585,149960678.63111922,214
LSR,0.00187926102223119,0.0007430147997850124,33699775.87421852,215
HLA-E,0.0018747929699536262,0.0005551914974573603,17777365.46384336,216
RPSAP58,0.0018718784132188224,0.0013786142788659685,115360655.57716875,217
EIF1,0.0018688148378087053,0.0003878350879519507,17977036.534311805,218
THY1,0.0018675758198516133,2.630477270475039e-05,15300165.907210443,219
FAM60A,0.0018658236596782903,0.0005365862602665795,14875532.865944294,220
SLC25A3,0.0018625505499380328,0.0016564756406720234,14798439.591033641,221
ITGB1,0.0018551727558843798,0.0012790390470627344,14192807.20967305,222
TRIM28,0.0018547034969591699,0.0006194737858448445,40499709.60378732,223
HPN,0.0018500741267126932,0.0016041358778905418,24701224.770127185,224
KLK7,0.0018470245867075092,0.000803889177271892,21123585.601335634,225
RPS7,0.001841839034812166,0.0010597154878592377,77287289.3687746,226
