gene,mean_importance,std_importance,rank
feature_289,0.001516198736275117,0.0003075428782993554,294
feature_111,0.0015154397653739805,0.0008718190453381595,295
feature_17,0.001515107288124134,0.001137623830088818,296
feature_70,0.0015029833798826965,0.0011639286251522844,297
feature_470,0.001495552028719085,0.0011733952603338578,298
feature_42,0.0014941167542595144,0.0007695523309092187,299
feature_382,0.0014880852896969664,0.0008158155008571049,300
feature_191,0.0014870695381225352,0.0011831094893445054,301
feature_199,0.0014754643432846467,0.0010973858262877377,302
feature_262,0.0014725148696682368,0.0008038065393196063,303
feature_69,0.0014675780302954363,0.0004755572250241878,304
feature_340,0.0014653702227020735,0.0010112627581491942,305
feature_8,0.0014612483059269956,0.0006107109886397717,306
feature_190,0.0014608507198808542,0.000926662633016857,307
feature_216,0.0014596640800793289,0.00108772529220669,308
feature_357,0.0014548299720309093,0.001895390787594775,309
feature_348,0.00145076028327116,0.0007474696738316194,310
feature_170,0.0014438934584764262,0.0012163027677832346,311
feature_163,0.0014432751434718318,0.0010475018904682614,312
feature_438,0.0014424526061848555,0.0006504652644867985,313
feature_30,0.0014420708946853223,0.0011787433583917877,314
feature_322,0.0014414347038415216,0.0005610024800282797,315
feature_189,0.0014339104899686532,0.0006865513260847818,316
feature_40,0.0014282195022684357,0.0010596179067412204,317
feature_403,0.0014276050571722402,0.0002988726745084202,318
feature_324,0.0014232584026787273,0.0008135150568351626,319
feature_120,0.0014106505288767792,0.0009488363708250964,320
feature_338,0.0014070391087468584,0.0005296859458807715,321
feature_256,0.001386967602996751,0.00045037187299729915,322
feature_424,0.0013754597400122582,0.00041929486844288386,323
feature_65,0.0013586566682050737,0.0003253689920280397,324
feature_264,0.0013534134036831947,0.001311310730711148,325
feature_28,0.0013512079937924605,0.0008070843225109216,326
feature_124,0.0013406087130166386,0.00027703298130060173,327
feature_232,0.0013386542030924705,0.0011424258373878408,328
feature_29,0.0013360498762336195,0.0006815992660641609,329
feature_128,0.0013262425670582604,0.0009436869466858463,330
feature_275,0.0013257677735635427,0.0004956041451659794,331
feature_407,0.001315044556724115,0.00026962354639757804,332
feature_290,0.0013095576414586339,0.0009276896477743107,333
feature_268,0.0013054899762970102,0.00038240133778308973,334
feature_177,0.001301780757894467,0.0010475804109397872,335
feature_126,0.0013014851581808703,0.0004991094232981988,336
feature_198,0.0013004613790655228,0.0009727142813955374,337
feature_132,0.0012869350991570009,0.0009412300270711971,338
feature_306,0.0012791375558914998,0.0008785465845705985,339
feature_278,0.001276311127778611,0.0007668330337581895,340
feature_304,0.001273297027300179,0.0002767566727750707,341
feature_125,0.0012704581355558102,0.001018319842495923,342
feature_329,0.0012674244584442776,0.0006356926246583646,343
feature_15,0.001265978306573861,0.0006808098105977895,344
feature_18,0.0012639927337534647,0.0006414732449995205,345
feature_242,0.001262864088825114,0.0009482650629536686,346
feature_80,0.001259021888900586,0.0003231552603106549,347
feature_318,0.0012565553151278185,5.168414481624442e-05,348
feature_41,0.0012509947948485904,0.0010040671080688197,349
feature_287,0.0012499847208125787,0.0004912136390682434,350
feature_103,0.0012483170782846581,0.0006415284510099521,351
feature_182,0.0012423419648523455,0.0004535951911015514,352
feature_54,0.0012346967675629364,0.0010834193297414175,353
feature_195,0.0012277448426911773,0.0012362782232959884,354
feature_229,0.001226842853965326,0.00025687118126059214,355
feature_244,0.001219504433280839,0.0011289825660725553,356
feature_72,0.0012143629903564681,0.0004519610276518341,357
feature_491,0.001209416524273378,0.0009219063163910798,358
feature_281,0.0012065492372666726,0.0004506809167580702,359
