gene,importance
feature_424,0.0010426274595299078
feature_2,0.0010328704026798833
feature_112,0.001032267579046718
feature_13,0.0010284127192687665
feature_403,0.001026609237672075
feature_52,0.001019357608926818
feature_380,0.001013736945334087
feature_177,0.0010105175558849633
feature_259,0.0010030782595737873
feature_136,0.0010029815146094254
feature_206,0.0009940252498904173
feature_484,0.0009844130460923686
feature_230,0.0009824205934881938
feature_276,0.000981726819385953
feature_344,0.0009749552731495503
feature_234,0.0009713786685704312
feature_458,0.0009695537211749591
feature_209,0.0009645062533353134
feature_56,0.000963871997223329
feature_494,0.0009560469225483405
feature_278,0.0009541423053676776
feature_249,0.0009487646454646219
feature_402,0.0009305311657603855
feature_203,0.0009281360008976953
feature_437,0.0009258333949294085
feature_207,0.0009076873621506901
feature_216,0.0009042999212482881
feature_483,0.000903379106909544
feature_50,0.0008981351430985032
feature_304,0.0008841463414634179
feature_313,0.000881002665758412
feature_255,0.0008791612902453628
feature_473,0.0008693327935381694
feature_247,0.0008597665515864556
feature_361,0.0008578520970811455
feature_135,0.0008569971705826143
feature_468,0.0008508985621880178
feature_356,0.0008425261002143959
feature_451,0.0008419640659412579
feature_441,0.0008397972332515742
feature_226,0.0008389342776726667
feature_328,0.0008338990261170775
feature_284,0.0008325932860118783
feature_350,0.0008264603454476915
feature_336,0.0008167193440685769
feature_150,0.0008159134624564835
feature_267,0.0008021088853276415
feature_282,0.000801647831653958
feature_167,0.0007940684777606275
feature_427,0.0007765074631161568
feature_213,0.0007756224543921078
feature_373,0.000757149535280209
feature_159,0.0007567608039853394
feature_197,0.0007509357387436435
feature_256,0.0007505917414725352
feature_53,0.0007464114832535858
feature_474,0.0007443390376528841
feature_102,0.0007439701977941905
feature_443,0.0007357795058158467
feature_312,0.0007263136522082048
feature_447,0.0007165045760562198
feature_337,0.000691278257332876
feature_232,0.0006802240380246471
feature_472,0.0006777958247458916
feature_26,0.000676346696491144
feature_499,0.0006754896576739616
feature_92,0.0006714499465225204
feature_169,0.0006684708689559316
feature_66,0.0006670499461013283
feature_118,0.0006594399277326126
feature_231,0.0006560093618002637
feature_348,0.0006476008442543835
feature_119,0.0006381919388073194
feature_87,0.0006261355695317995
feature_389,0.0006071703995255673
feature_265,0.000591786941945372
feature_88,0.0005895312714291286
feature_120,0.0005790127022225444
feature_72,0.0005769519284571016
feature_309,0.0005761948894479025
feature_198,0.0005703570089955037
feature_467,0.0005689126644747342
feature_446,0.0005654236105336281
feature_440,0.0005542890891210361
feature_158,0.0005537028714080381
feature_3,0.0005512432709561676
feature_137,0.0005432720739266047
feature_470,0.0005354841700273483
feature_94,0.0005283500920844394
feature_29,0.0005229112750374215
feature_425,0.0005226487137547518
feature_465,0.0005183650407133666
feature_388,0.0005182006868498242
feature_323,0.00050766806722688
feature_18,0.0005047097480832465
feature_191,0.0005023888549106396
feature_81,0.0004905263992389345
feature_353,0.0004865951385625692
feature_104,0.0004830554647488277
feature_189,0.00048101291553117454
feature_250,0.0004737465167894027
feature_32,0.0004698846069370944
feature_106,0.00044980418007677596
feature_17,0.0004397940760481506
feature_457,0.0004352221278077389
feature_471,0.00043124578615798433
feature_86,0.0004299532644856322
feature_236,0.00042082721562559076
feature_235,0.00042065534578574013
feature_68,0.00041287656800825145
feature_152,0.0003848422837969889
feature_329,0.0003840725553171049
feature_103,0.00038392235458814295
feature_489,0.00038211974882896085
feature_54,0.0003766219266373562
