gene,importance,rank
DSP,0.00050766806722688,362
S100A6,0.0005047097480832465,363
CFL1,0.0005023888549106396,364
RPL10A,0.0004905263992389345,365
XBP1,0.0004865951385625692,366
RPL29,0.0004830554647488277,367
CEL,0.00048101291553117454,368
LTF,0.0004737465167894027,369
RPS16,0.0004698846069370944,370
RPL7A,0.00044980418007677596,371
FTH1,0.0004397940760481506,372
SLC25A3,0.0004352221278077389,373
ITGB1,0.00043124578615798433,374
TPM4,0.0004299532644856322,375
TM4SF1,0.00042082721562559076,376
ATN1,0.00042065534578574013,377
TMSB10,0.00041287656800825145,378
TGM2,0.0003848422837969889,379
LGALS1,0.0003840725553171049,380
HSP90AA1,0.00038392235458814295,381
ECH1,0.00038211974882896085,382
RPL4,0.0003766219266373562,383
RPL35,0.00037245334684504744,384
COX4I1,0.000371104406154155,385
TPI1,0.00036382283946848016,386
RPS6,0.000358370201037976,387
RPS15A,0.00035685805422647644,388
BHLHE41,0.0003559814635960594,389
SLC25A6,0.0003525248987734974,390
RPS3A,0.0003517329753203321,391
AHCY,0.0003475879858466359,392
TAGLN,0.000331017023108581,393
SLC44A2,0.00032099500548625996,394
TMSL3,0.0003159241035017455,395
PABPC4,0.00031247967465707185,396
EIF4A1,0.00029393298562815977,397
LY6E,0.00027416331994645053,398
H1F0,0.0002740289243477743,399
PDIA6,0.00025353431242685216,400
NDUFC2,0.00024891342956505455,401
APLP2,0.00024774124131206164,402
S100A13,0.00024361058878770642,403
ERGIC3,0.00023773861309634264,404
RPL14,0.0002354294478527607,405
ZFP36,0.00023253685914819251,406
HMGA1,0.00022651507340650578,407
HLA-B,0.0002228116710875331,408
LUM,0.0002223410134908599,409
HLA-DRA,0.00022152525909621633,410
MCL1,0.0002188256573369626,411
PPIB,0.00020063771451042021,412
IGFBP3,0.00019633934995354611,413
RPL6,0.0001925116993610149,414
GAPDH,0.00019208028561476685,415
TIMP3,0.00019128639940953267,416
AP2M1,0.00018594381010488508,417
CALM2,0.00018383838383838425,418
CD24,0.0001791232497727155,419
HSPB1,0.00017263473641244983,420
NPC2,0.0001715265866209255,421
GPI,0.00016867994947878257,422
NUCKS1,0.0001630217086653351,423
DUSP1,0.0001604877829449999,424
NACA,0.00016044502423353315,425
BSG,0.00015549021077920723,426
COL5A1,0.00015384980130688192,427
RPL19,0.00013482390610342442,428
TUBB,0.0001272591610014936,429
IER2,0.00012638151161527525,430
SPOCK2,0.00011147433801896075,431
RPS21,0.00011115250869349256,432
HNRNPA2B1,0.00011095041322313889,433
CD81,0.00010720411663807856,434
TPT1,0.0001004458566084172,435
FN1,9.951653401826834e-05,436
ATP6V1B1,9.359089547768836e-05,437
STMN1,9.209857723577234e-05,438
CCND1,8.957954404691108e-05,439
WFDC2,8.85920377969999e-05,440
NME2,8.530052458433337e-05,441
PRKCSH,8.260682380798659e-05,442
YWHAE,8.080808080808135e-05,443
BCAT1,8.031232571109873e-05,444
HP,7.748825935464372e-05,445
LAPTM4B,7.727652464494563e-05,446
SNRNP200,7.673958052029927e-05,447
PPT1,7.673263010090672e-05,448
S100A1,7.003564313981154e-05,449
PLP2,6.815968841285341e-05,450
CLNS1A,6.66854513008366e-05,451
EEF1B2,5.0505050505051427e-05,452
CSRP1,4.837852206273331e-05,453
PEG10,4.63510532877287e-05,454
HSP90B1,4.155401175558945e-05,455
SPON1,4.086845466155966e-05,456
AHNAK,3.816238598847302e-05,457
CCT2,3.5191668911034075e-05,458
COL18A1,2.6448507647623322e-18,459
ERBB2,2.4243916997242834e-18,460
LDHA,1.2383320708083582e-18,461
LCN2,1.0335439293153845e-18,462
GAS5,9.801719763034635e-19,463
CTSB,8.830217830982486e-19,464
MAL2,8.494823794629998e-19,465
HLA-DQB1,8.034176038967042e-19,466
CD74,7.609560757805628e-19,467
COL6A1,7.141237645502683e-19,468
HLA-C,5.149154802056679e-19,469
MMP7,4.1576253185551293e-19,470
FOSB,3.2895497025930707e-19,471
HSPA8,2.74129141882756e-19,472
RPS9,2.558538657572386e-19,473
EEF2,2.492951429665474e-19,474
MYCL1,2.2582945614534457e-19,475
SPARC,1.4022851791868348e-19,476
ASS1,1.2930619900129993e-19,477
LYPD1,3.4266142735344415e-20,478
TACSTD2,0.0,479
C3,0.0,480
YWHAZ,0.0,481
MYH9,0.0,482
PTMS,0.0,483
KRT19,0.0,484
MFGE8,0.0,485
OAZ1,0.0,486
SLC2A1,0.0,487
MEST,0.0,488
CDK16,0.0,489
RPL28,0.0,490
HDGF,0.0,491
IGFBP5,0.0,492
RPL37A,0.0,493
PRDX1,0.0,494
RPS24,0.0,495
RPS14,0.0,496
GRINA,0.0,497
CD63,0.0,498
SLC38A2,0.0,499
FTL,0.0,500
